"ID заявки";"ID клиента";"ProductID";"ShopID";"Год заявки";"Дата доставки";"Дата заявки";"Дата заявки (scale)";"Дата и время доставки";"Дата и время заявки";"Доставка (точка)";"Доставка - округ";"Доставка - район";"Доставка - тип";"Клиент";"Клиент - пол";"Клиент - статус";"Клиент- дата рождения";"Магазин";"Магазин (точка)";"Магазин - адрес";"Магазин - район";"Месяц заявки";"Продукт";"Продукт - бренд";"Продукт - категория";"Продукт - подкатегория";"Тип  оплаты";"Время доставки, дн.";"Продажа, ₽";"Скидка, ₽";"Среднее число продуктов в заказе";"Средний чек";"Число заявок";"Число клиентов";"Число магазинов"
2016-189524;Urtig;prd-12;sp-18;2020;09.01.1974;24.11.2020;01.11.2020;09.01.1974 06:08:00;24.11.2020 22:14:00;[55.699409138,37.74906053];ЮВАО;Текстильщики;Самовывоз;Носов Александр Алексеевич;Мужчина;Базовый;1978-03-17;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.11.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";480;0;1;480;1;1;1
2016-365432;ApDHR;prd-27;sp-23;2020;09.01.1974;23.05.2020;01.05.2020;09.01.1974 06:08:00;23.05.2020 19:23:00;[55.7781841,37.722610495];ВАО;Соколиная Гора;Самовывоз;Алкснис Виктор Имантович;Мужчина;Серебряный;1992-01-28;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.05.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";784;0;2;784;1;1;1
2016-918479;QROQP;prd-15;sp-23;2020;09.01.1974;13.12.2020;01.12.2020;09.01.1974 06:08:00;13.12.2020 22:35:00;[55.739512683,37.683019303];ЦАО;Таганский;Самовывоз;Кнутов Николай Георгиевич;Мужчина;Золотой;1987-10-27;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.12.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Наличные;"";135;0;4;135;1;1;1
2016-541956;yxz6u;prd-36;sp-19;2020;06.01.2021;30.12.2020;01.12.2020;06.01.2021 18:09:00;30.12.2020 23:10:00;[55.79581598,37.404890591];СЗАО;Строгино;Доставка;Лаврухин Иван Александрович;Мужчина;Серебряный;1977-05-15;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.12.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Банковская карта;6.790972222222222;517;0;4;517;1;1;1
2016-368019;Cm9yh;prd-32;sp-20;2020;09.01.1974;17.03.2020;01.03.2020;09.01.1974 06:08:00;17.03.2020 14:01:00;[55.587711525,37.671374197];ЮАО;Бирюлёво Восточное;Самовывоз;Борисовская Светлана Сергеевна;Женщина;Базовый;1980-04-11;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.03.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1434;0;2;1434;1;1;1
2016-206365;OMQSX;prd-39;sp-14;2020;09.01.1974;04.09.2020;01.09.2020;09.01.1974 06:08:00;04.09.2020 20:57:00;[55.76394192,37.585480095];ЦАО;Пресненский;Самовывоз;Злобин Николай Викторович;Мужчина;Базовый;1993-07-27;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.09.2020;Весы напольные;Разумный дом;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";846;0;3;846;1;1;1
2016-436498;seNBb;prd-32;sp-14;2020;09.01.1974;03.02.2020;01.02.2020;09.01.1974 06:08:00;03.02.2020 17:45:00;[55.798429782,37.554321004];САО;Аэропорт;Самовывоз;Путина Ирина Викторовна;Женщина;Серебряный;1990-01-03;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.02.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1430;0;3;1430;1;1;1
2016-587438;AQVQk;prd-21;sp-23;2020;09.01.1974;04.08.2020;01.08.2020;09.01.1974 06:08:00;04.08.2020 12:21:00;[55.79989265,37.70541373];ВАО;Преображенское;Самовывоз;Шалыгин Сергей Валерьевич;Мужчина;Золотой;1990-10-01;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.08.2020;Зубной порошок;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";62;0;3;62;1;1;1
2016-498283;9u6qo;prd-31;sp-15;2020;19.06.2020;11.06.2020;01.06.2020;19.06.2020 04:33:00;11.06.2020 21:43:00;[55.836615481,37.616212476];СВАО;Останкинский;Доставка;Дорохов Сергей Викторович;Мужчина;Серебряный;1988-03-16;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.06.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Наличные;7.284722222222222;1020;0;1;1020;1;1;1
2016-022170;lpSKV;prd-27;sp-19;2020;09.01.1974;01.03.2020;01.03.2020;09.01.1974 06:08:00;01.03.2020 15:45:00;[55.840591122,37.461822812];СЗАО;Южное Тушино;Самовывоз;Свириденко Антон Юрьевич;Мужчина;Золотой;1987-07-12;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.03.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";779;0;4;779;1;1;1
2016-876296;q5uEX;prd-11;sp-18;2020;09.01.1974;03.05.2020;01.05.2020;09.01.1974 06:08:00;03.05.2020 15:36:00;[55.792590964,37.762878744];ВАО;Измайлово;Самовывоз;Лакутин Николай Афанасьевич;Мужчина;Золотой;1990-05-01;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.05.2020;Порошок для стирки вещей органический;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";625;0;4;625;1;1;1
2016-137083;1zseT;prd-29;sp-17;2020;09.01.1974;29.11.2020;01.11.2020;09.01.1974 06:08:00;29.11.2020 21:17:00;[55.611229318,37.701554006];ЮАО;Орехово-Борисово Северное;Самовывоз;Студеникин Никита Игоревич;Мужчина;Серебряный;1990-03-22;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.11.2020;Магниты на холодильник, 5 шт.;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";263;0;3;263;1;1;1
2016-183344;PMnee;prd-26;sp-22;2020;09.01.1974;03.10.2020;01.10.2020;09.01.1974 06:08:00;03.10.2020 19:17:00;[55.658370238,37.539119676];ЮЗАО;Обручевский;Самовывоз;Рубцов Илья Андреевич;Мужчина;Золотой;1988-07-28;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.10.2020;Скатерть кухонная темно-синяя ;Ростовская фабрика;Бытовые товары;Кухонные товары;Наличные;"";312;0;2;312;1;1;1
2016-252609;TqN2K;prd-18;sp-20;2020;09.01.1974;22.10.2020;01.10.2020;09.01.1974 06:08:00;22.10.2020 19:43:00;[55.577748452,37.658777773];ЮАО;Бирюлёво Западное;Самовывоз;Бондарь Сергей Николаевич;Мужчина;Серебряный;1970-02-11;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.10.2020;Чистящее средство для автомобиля "Скорость";Городской драйв;Бытовая химия;Чистящие средства;Наличные;"";619;0;4;619;1;1;1
2016-775915;g6may;prd-32;sp-17;2020;09.01.1974;13.11.2020;01.11.2020;09.01.1974 06:08:00;13.11.2020 15:40:00;[55.619547955,37.755007553];ЮАО;Зябликово;Самовывоз;Любенков Георгий Александрович;Мужчина;Серебряный;1986-06-01;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.11.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1447;0;2;1447;1;1;1
2016-776362;97d6g;prd-14;sp-18;2020;09.01.1974;15.02.2020;01.02.2020;09.01.1974 06:08:00;15.02.2020 16:47:00;[55.701900003,37.75539611];ЮВАО;Кузьминки;Самовывоз;Нуретдинов Альфред Минахметович;Мужчина;Золотой;1979-07-15;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.02.2020;Средство для мытья посуды с ароматом лимона;Мойдодыр;Бытовая химия;Моющие средства;Банковская карта;"";354;0;2;354;1;1;1
2016-240129;sFt2G;prd-16;sp-21;2020;09.01.1974;30.12.2020;01.12.2020;09.01.1974 06:08:00;30.12.2020 19:17:00;[55.781282952,37.464521221];СЗАО;Хорошёво-Мнёвники;Самовывоз;Шагапова Руфина Аликовна;Женщина;Базовый;1994-09-30;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.12.2020;Порошок для чистки плиты;БиоДом;Бытовая химия;Чистящие средства;Наличные;"";195;0;1;195;1;1;1
2016-222964;05xSf;prd-28;sp-14;2020;10.06.2020;06.06.2020;01.06.2020;10.06.2020 01:38:00;06.06.2020 19:30:00;[55.768471762,37.614039155];ЦАО;Тверской;Доставка;Савелов Юрий Михайлович;Мужчина;Серебряный;1986-08-26;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.06.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;3.2555555555555555;2082;0;4;2082;1;1;1
2016-616195;bwG47;prd-23;sp-22;2020;05.08.2020;31.07.2020;01.07.2020;05.08.2020 06:54:00;31.07.2020 20:38:00;[55.753632414,37.814678536];ВАО;Новогиреево;Доставка;Федоров Олег Анатольевич;Мужчина;Серебряный;1992-10-04;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.07.2020;Зубная паста для чувствительных десен;Кедровый лес;Бытовые товары;Косметика и здоровье;Банковская карта;4.427777777777778;104;0;2;104;1;1;1
